id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
97930,"Parikia, Stone house, terrace",517567,Paola,,Πάρου (Paros),37.08396,25.14722,Entire home/apt,60,2,27,2019-08-26,0.41,1,328
103993,"Our panoromic view,  in sun  in shade and calm",541787,Chryssa,,Σερίφου (Seriphos),37.14862,24.50902,Entire home/apt,60,7,5,2019-09-12,0.20,1,181
117376,Villa Zizi,592883,Eleftheria,,Κέας (Kea),37.66825,24.33379,Entire home/apt,75,4,4,2019-08-18,0.16,1,358
117717,"BEAUTIFULL VILLA GOLDEN BEACH,PAROS",594546,Magda,,Πάρου (Paros),37.0177,25.23201,Entire home/apt,65,6,9,2019-09-08,0.12,1,358
118670,Sup. SV apt-priv. balc-Amoudi Bay,51279,Travel & Tourism Greece,,Θήρας (Santorini),36.46115,25.3697,Entire home/apt,110,1,7,2016-07-04,0.11,54,4
120681,large studio in old town RHODES ,606917,Valy,,Ρόδου (Rhodes),36.44195,28.22474,Private room,40,5,0,,,1,365
123714,MARE BLUE APARTMENTS QUIET LOCATION,610436,Eleni,,Κω (Kos),36.91198,27.2746,Private room,25,2,3,2019-01-27,0.12,5,0
126827,"Villa-1,near the beach 'n golf-private pool-garden",628743,Afroditi - Dina,,Ρόδου (Rhodes),36.29471,28.17903,Entire home/apt,200,2,28,2019-08-04,0.36,3,75
128878,Traditional House in Tinos island,636678,Andreas,,Τήνου (Tinos),37.60677,25.16858,Entire home/apt,40,2,39,2019-09-13,0.51,1,252
128893,"OIA SUNSET VILLAS - Villa ""TOPAZ"" Pools and Spa",636755,Marcos,,Θήρας (Santorini),36.46719,25.37237,Entire home/apt,710,1,24,2019-09-23,0.31,6,200
130331,Spectacular Ano Syros for 4 people,639311,Frini,,Σύρου - Ερμούπολης (Syros),37.45044,24.93542,Entire home/apt,90,4,27,2019-09-18,0.30,1,213
130721,The Writer's guest-home - worth to experience,643340,Vici,,Σερίφου (Seriphos),37.13303,24.51571,Entire home/apt,75,4,87,2019-09-24,0.88,3,341
135198,Santorini Hara's Houses - Studio 1,659929,Anna,,Θήρας (Santorini),36.43112,25.424,Entire home/apt,250,2,185,2019-09-13,1.88,7,176
135874,"""Envision"" unit, amazing sea views even from bed!",665681,Sensyo Home,,Θήρας (Santorini),36.42447,25.42844,Entire home/apt,98,3,244,2019-09-14,2.46,4,152
136150,Green windows,666836,Yiannis,,Νάξου & Μικρών Κυκλάδων (Naxos & Small Cyclades),36.95804,25.4272,Entire home/apt,80,3,2,2019-08-24,1.30,1,177
137230,Romantic getaway ,377335,Deborah,,Σερίφου (Seriphos),37.15716,24.50437,Entire home/apt,150,6,4,2018-08-10,0.05,1,330
138975,Anna Maria Mykonos Maisonette II,663967,Nikolas,,Μυκόνου (Μykonos),37.43207,25.41717,Entire home/apt,60,3,25,2019-07-24,0.28,8,100
139990,Santorini Hara's Houses - Studio 2,659929,Anna,,Θήρας (Santorini),36.43088,25.42501,Entire home/apt,180,2,148,2019-09-05,1.50,7,182
143323,"Andros, cyclade, smart holidayhouse",695499,Christina,,Άνδρου (Andros),37.90015,24.75997,Entire home/apt,90,3,4,2018-08-24,0.05,11,31
146295,Typical greek village house,227911,Marie,,Αστυπαλαίας (Astypalea),36.54437,26.35541,Entire home/apt,51,5,8,2019-08-31,0.13,1,116
150779,Villa with amazing view over the sea,726275,An,,Κω (Kos),36.87421,27.26706,Private room,27,2,48,2019-08-26,0.49,1,285
156675,3-Bedroom Villa panoramic sea view by Kea Village,747958,Christos,,Κέας (Kea),37.63775,24.34187,Hotel room,150,2,1,2019-05-01,0.20,5,162
