id,listing_url,name
756080,https://www.airbnb.com/rooms/756080,FAMOUS SANTORINI VILLA with CAR & PRIVATE TRANSFER
756095,https://www.airbnb.com/rooms/756095,Parathira cave houses
756149,https://www.airbnb.com/rooms/756149,SPECTACULAR SANTORINI VILLA with CAR & TRANSFER
764549,https://www.airbnb.com/rooms/764549,Standard Studio 6
764551,https://www.airbnb.com/rooms/764551,Budget Standard Studio 2
764552,https://www.airbnb.com/rooms/764552,Budget Standard Studio 3
764554,https://www.airbnb.com/rooms/764554,Standard Studio 7
764560,https://www.airbnb.com/rooms/764560,"Superior Studio 8, Imerovigli"
764561,https://www.airbnb.com/rooms/764561,"Superior Studio 4, Imerovigli"
764564,https://www.airbnb.com/rooms/764564,Superior Studio 5
764565,https://www.airbnb.com/rooms/764565,"Superior Studio 9, Imerovigli"
764566,https://www.airbnb.com/rooms/764566,Small Suite with Jaccuzzi 10
764567,https://www.airbnb.com/rooms/764567,Small Suite with Jaccuzzi 1
770858,https://www.airbnb.com/rooms/770858,STELLA`S HOUSE-SUNSET VIEW
771686,https://www.airbnb.com/rooms/771686,PORI HOUSE-VOLCANO VIEW
773406,https://www.airbnb.com/rooms/773406,CASA SOFIA-VOLCANO VIEW
773673,https://www.airbnb.com/rooms/773673,Double Bed Studio Kamari Beach
773677,https://www.airbnb.com/rooms/773677,Studio for 2-3persons Kamari Beach 
773680,https://www.airbnb.com/rooms/773680,Very close to Kamari Beach !!!!!!
773688,https://www.airbnb.com/rooms/773688,Studio 2min from Kamari Beach
773819,https://www.airbnb.com/rooms/773819,Merovigla Studio Caldera View 2Pax
773822,https://www.airbnb.com/rooms/773822,Merovigla Studios Sea View 2Pax
773826,https://www.airbnb.com/rooms/773826,Studio Village View in Merovigla
773830,https://www.airbnb.com/rooms/773830,Merovigla Studio Caldera View 3Pax
773831,https://www.airbnb.com/rooms/773831,Merovigla Studios Sea View 3Pax
773833,https://www.airbnb.com/rooms/773833,Merovigla Studios Village 3Pax
774508,https://www.airbnb.com/rooms/774508,VILLA MARINA-VOLCANO VIEW
775712,https://www.airbnb.com/rooms/775712,Double Studio in Karterados village
775716,https://www.airbnb.com/rooms/775716,Triple apartment Karterados Beach
775717,https://www.airbnb.com/rooms/775717,Quart Studio in Karterados village
775723,https://www.airbnb.com/rooms/775723,Standard 2ble in Karterados village
775726,https://www.airbnb.com/rooms/775726,Standard Twin in Karterados village
775730,https://www.airbnb.com/rooms/775730,Cave House in Karterados Beach
775733,https://www.airbnb.com/rooms/775733,"Garden Aprtmnt 4p, Karterados Beach"
775744,https://www.airbnb.com/rooms/775744,"Garden Aprtmnt 2p, Karterados Beach"
777567,https://www.airbnb.com/rooms/777567,Superior Double with Outdoor Plunge Pool
777574,https://www.airbnb.com/rooms/777574,Standard Apartment / sea views
777583,https://www.airbnb.com/rooms/777583,Superior Apartment / Sea view 
777672,https://www.airbnb.com/rooms/777672,Junior Cavehouse Suite / sea view 
777674,https://www.airbnb.com/rooms/777674,Premium Cave Villa with private plunge pool
777679,https://www.airbnb.com/rooms/777679,Private Suite w private plunge pool & amazing view
777680,https://www.airbnb.com/rooms/777680,V.I.P. Suite w Private Outdoor Plunge Pool
777681,https://www.airbnb.com/rooms/777681,Honeymoon Suite with amazing caldera views
782136,https://www.airbnb.com/rooms/782136,A (3) House Complex in Oia for 10!
786218,https://www.airbnb.com/rooms/786218,"The ""Perfect Hideaway Studio"" !"
