,beds,guests,bedrooms,baths,bath,bedroom,bed,half-bath
https://www.airbnb.com/rooms/1161047,2,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/1161069,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/11615663,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/11635659,2,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/11689418,7,11,3,3,0,0,0,0
https://www.airbnb.com/rooms/11709079,3,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/11709643,6,6,3,3.5,0,0,0,0
https://www.airbnb.com/rooms/11725556,3,4,2,0,1,0,0,0
https://www.airbnb.com/rooms/11728079,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/11731704,5,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/11746084,0,2,0,0,0,0,0,0
https://www.airbnb.com/rooms/11746866,2,3,0,0,0,1,0,0
https://www.airbnb.com/rooms/11772468,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/11779416,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/11779606,0,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/11779726,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11779764,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11779961,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11787088,4,6,3,3,0,0,0,0
https://www.airbnb.com/rooms/11787819,3,2,0,0,0,1,0,0
https://www.airbnb.com/rooms/11805823,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/11805834,6,8,2,2,0,0,0,0
https://www.airbnb.com/rooms/11845769,2,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/11852626,2,5,0,0,1,1,0,0
https://www.airbnb.com/rooms/11864102,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/118670,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11883809,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11902600,3,6,3,3,0,0,0,0
https://www.airbnb.com/rooms/11923135,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11945703,4,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/11946538,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/11983175,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/1199117,4,4,0,0,0,1,0,0
https://www.airbnb.com/rooms/12006805,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12014371,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/12016590,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/12017283,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/1201741,4,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/1202422,3,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/12034815,4,6,2,0,1,0,0,0
https://www.airbnb.com/rooms/12037080,2,5,2,2,0,0,0,0
https://www.airbnb.com/rooms/12037217,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12038674,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12040350,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12040558,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12040740,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12040834,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12085096,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/1210544,0,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/1210818,2,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/1211286,4,7,3,0,1,0,0,0
https://www.airbnb.com/rooms/12128849,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/12178790,2,3,0,0,1,0,0,0
https://www.airbnb.com/rooms/12181854,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12182803,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12183225,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12183515,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/1220363,0,2,0,3.5,0,1,0,0
https://www.airbnb.com/rooms/12215363,3,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/1222035,0,3,0,0,1,1,1,0
https://www.airbnb.com/rooms/12221543,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12227586,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12240771,0,2,0,0,0,1,1,0
https://www.airbnb.com/rooms/12246643,0,2,0,2,0,1,1,0
https://www.airbnb.com/rooms/12286330,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12306546,6,8,2,0,1,0,0,0
https://www.airbnb.com/rooms/12319652,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12332230,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12370685,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12377510,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12381238,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12383443,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12413989,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12428795,3,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12435851,2,4,2,2,0,0,0,0
https://www.airbnb.com/rooms/12436629,2,3,2,1.5,0,0,0,0
https://www.airbnb.com/rooms/12437989,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12438986,3,6,3,0,1,0,0,0
https://www.airbnb.com/rooms/12440208,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12441355,7,9,2,3,0,0,0,0
https://www.airbnb.com/rooms/12461584,0,2,0,1.5,0,1,1,0
https://www.airbnb.com/rooms/12463180,3,4,2,2.5,0,0,0,0
https://www.airbnb.com/rooms/12465063,4,6,3,2.5,0,0,0,0
https://www.airbnb.com/rooms/12466489,5,11,3,2,0,0,0,0
https://www.airbnb.com/rooms/12468361,6,6,3,2,0,0,0,0
https://www.airbnb.com/rooms/12470307,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12478579,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12482664,3,5,2,0,1,0,0,0
https://www.airbnb.com/rooms/12483247,2,5,0,0,1,1,0,0
https://www.airbnb.com/rooms/12483298,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12484767,0,4,0,0,1,1,1,0
https://www.airbnb.com/rooms/12485177,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12485459,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12498002,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12512017,2,3,0,0,1,1,0,0
https://www.airbnb.com/rooms/12524885,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12528781,0,2,0,0,1,1,1,0
https://www.airbnb.com/rooms/12529102,2,4,0,0,1,1,0,0
https://www.airbnb.com/rooms/12550444,0,2,0,0,1,0,1,0
https://www.airbnb.com/rooms/12555524,2,2,0,0,1,1,0,0
https://www.airbnb.com/rooms/12573485,6,11,5,5,0,0,0,0
https://www.airbnb.com/rooms/1257581,5,10,5,5,0,0,0,0
https://www.airbnb.com/rooms/1257611,20,16+,9,7,0,0,0,0
https://www.airbnb.com/rooms/12579040,4,6,2,2,0,0,0,0
https://www.airbnb.com/rooms/12583018,3,6,2,1.5,0,0,0,0
https://www.airbnb.com/rooms/1258856,10,10,9,8,0,0,0,0
https://www.airbnb.com/rooms/12597725,2,3,0,2,0,1,0,0
https://www.airbnb.com/rooms/12598099,0,4,0,0,1,1,1,0
